stratum,path,bit,draw,abs_bit,cycle,cls,out_ok,hang,cnt_ok,cnt_err,gave_up_early,never_gives_up,strap_ok,noboot_set,valid_lost,record_ok,tmr_report
armed,g_prot_tmr.u_prot_a.bits,0,2,8,97,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
armed,g_prot_tmr.u_prot_a.bits,0,3,8,26,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
valid,g_prot_tmr.u_prot_a.bits,0,0,2,69,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
valid,g_prot_tmr.u_prot_a.bits,0,1,2,49,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
valid,g_prot_tmr.u_prot_a.bits,0,2,2,69,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
valid,g_prot_tmr.u_prot_a.bits,0,3,2,98,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,0,0,3,99,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,0,1,3,85,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,0,2,3,1,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,0,3,3,26,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,1,0,4,27,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,1,1,4,38,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,1,2,4,100,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,1,3,4,30,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,2,0,5,19,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,2,1,5,70,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,2,2,5,16,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,2,3,5,94,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,3,0,6,74,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,3,1,6,96,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,3,2,6,64,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
strap,g_prot_tmr.u_prot_a.bits,3,3,6,43,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
wdis,g_prot_tmr.u_prot_a.bits,0,0,7,64,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
wdis,g_prot_tmr.u_prot_a.bits,0,1,7,75,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
wdis,g_prot_tmr.u_prot_a.bits,0,2,7,58,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
wdis,g_prot_tmr.u_prot_a.bits,0,3,7,100,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
dly,g_prot_tmr.u_prot_a.bits,0,0,0,36,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
dly,g_prot_tmr.u_prot_a.bits,0,1,0,75,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
